0,0,0,0
256,0,0,0
512,0,0,0
768,0,0,0
1024,0,0,0
1280,0,0,0
1,0,0,0
257,0,0,0
513,0,0,0
769,0,0,0
1025,0,0,0
1281,0,0,0
2,0,0,0
258,140622734208568,140622734208568,0
514,0,0,0
770,0,0,0
1026,0,0,0
1282,0,0,0
3,0,0,0
259,0,0,0
515,0,0,0
771,0,0,0
1027,0,0,0
1283,0,0,0
4,0,0,0
260,0,0,0
516,0,0,0
772,0,0,0
1028,0,0,0
1284,0,0,0
5,0,0,0
261,0,0,0
517,0,0,0
773,0,0,0
1029,0,0,0
1285,0,0,0
0,87156,87156,100000
256,24952,24952,100000
512,838,838,100000
768,838,838,100000
1024,838,838,100000
1280,838,838,100000
1,53038,53038,100000
257,10661,10661,100000
513,838,838,100000
769,838,838,100000
1025,838,838,100000
1281,838,838,100000
2,25756,25756,100000
258,838,838,100000
514,838,838,100000
770,838,838,100000
1026,838,838,100000
1282,838,838,100000
3,4022,4022,100000
259,838,838,100000
515,838,838,100000
771,838,838,100000
1027,838,838,100000
1283,838,838,100000
4,838,838,100000
260,838,838,100000
516,838,838,100000
772,838,838,100000
1028,838,838,100000
1284,838,838,100000
5,27246,27246,100000
261,838,838,100000
517,838,838,100000
773,838,838,100000
1029,838,838,100000
1285,838,838,100000
0,171977,84821,200000
256,115250,90298,200000
512,14929,14091,200000
768,838,0,200000
1024,838,0,200000
1280,838,0,200000
1,130545,77507,200000
257,42829,32168,200000
513,17749,16911,200000
769,838,0,200000
1025,838,0,200000
1281,838,0,200000
2,102711,76955,200000
258,6972,6134,200000
514,838,0,200000
770,838,0,200000
1026,838,0,200000
1282,838,0,200000
3,4022,0,200000
259,838,0,200000
515,838,0,200000
771,838,0,200000
1027,838,0,200000
1283,838,0,200000
4,838,0,200000
260,838,0,200000
516,838,0,200000
772,838,0,200000
1028,838,0,200000
1284,838,0,200000
5,105155,77909,200000
261,838,0,200000
517,838,0,200000
773,838,0,200000
1029,838,0,200000
1285,838,0,200000
0,257051,85074,300000
256,205744,90494,300000
512,21888,6959,300000
768,838,0,300000
1024,838,0,300000
1280,838,0,300000
1,208199,77654,300000
257,97046,54217,300000
513,23972,6223,300000
769,838,0,300000
1025,838,0,300000
1281,838,0,300000
2,157798,55087,300000
258,9093,2121,300000
514,838,0,300000
770,838,0,300000
1026,838,0,300000
1282,838,0,300000
3,4022,0,300000
259,838,0,300000
515,838,0,300000
771,838,0,300000
1027,838,0,300000
1283,838,0,300000
4,838,0,300000
260,838,0,300000
516,838,0,300000
772,838,0,300000
1028,838,0,300000
1284,838,0,300000
5,183028,77873,300000
261,838,0,300000
517,838,0,300000
773,838,0,300000
1029,838,0,300000
1285,838,0,300000
0,342126,85075,400000
256,297435,91691,400000
512,28747,6859,400000
768,838,0,400000
1024,838,0,400000
1280,838,0,400000
1,285738,77539,400000
257,173745,76699,400000
513,35712,11740,400000
769,838,0,400000
1025,838,0,400000
1281,838,0,400000
2,190668,32870,400000
258,12513,3420,400000
514,838,0,400000
770,838,0,400000
1026,838,0,400000
1282,838,0,400000
3,4022,0,400000
259,838,0,400000
515,838,0,400000
771,838,0,400000
1027,838,0,400000
1283,838,0,400000
4,838,0,400000
260,838,0,400000
516,838,0,400000
772,838,0,400000
1028,838,0,400000
1284,838,0,400000
5,260933,77905,400000
261,838,0,400000
517,838,0,400000
773,838,0,400000
1029,838,0,400000
1285,838,0,400000
0,427069,84943,500000
256,387556,90121,500000
512,37959,9212,500000
768,838,0,500000
1024,838,0,500000
1280,838,0,500000
1,363205,77467,500000
257,192835,19090,500000
513,47452,11740,500000
769,838,0,500000
1025,838,0,500000
1281,838,0,500000
2,257219,66551,500000
258,15933,3420,500000
514,838,0,500000
770,838,0,500000
1026,838,0,500000
1282,838,0,500000
3,29671,25649,500000
259,7267,6429,500000
515,838,0,500000
771,838,0,500000
1027,838,0,500000
1283,838,0,500000
4,838,0,500000
260,838,0,500000
516,838,0,500000
772,838,0,500000
1028,838,0,500000
1284,838,0,500000
5,338683,77750,500000
261,838,0,500000
517,838,0,500000
773,838,0,500000
1029,838,0,500000
1285,838,0,500000
0,511993,84924,600000
256,477546,89990,600000
512,48630,10671,600000
768,838,0,600000
1024,838,0,600000
1280,838,0,600000
1,440654,77449,600000
257,192835,0,600000
513,60651,13199,600000
769,838,0,600000
1025,838,0,600000
1281,838,0,600000
2,323047,65828,600000
258,20760,4827,600000
514,838,0,600000
770,838,0,600000
1026,838,0,600000
1282,838,0,600000
3,55534,25863,600000
259,51671,44404,600000
515,838,0,600000
771,838,0,600000
1027,838,0,600000
1283,838,0,600000
4,5166,4328,600000
260,838,0,600000
516,838,0,600000
772,838,0,600000
1028,838,0,600000
1284,838,0,600000
5,403464,64781,600000
261,838,0,600000
517,838,0,600000
773,838,0,600000
1029,838,0,600000
1285,838,0,600000
0,597045,85052,700000
256,568080,90534,700000
512,57842,9212,700000
768,838,0,700000
1024,838,0,700000
1280,838,0,700000
1,518164,77510,700000
257,192835,0,700000
513,72391,11740,700000
769,838,0,700000
1025,838,0,700000
1281,838,0,700000
2,372734,49687,700000
258,24180,3420,700000
514,838,0,700000
770,838,0,700000
1026,838,0,700000
1282,838,0,700000
3,55534,0,700000
259,99792,48121,700000
515,838,0,700000
771,838,0,700000
1027,838,0,700000
1283,838,0,700000
4,17318,12152,700000
260,838,0,700000
516,838,0,700000
772,838,0,700000
1028,838,0,700000
1284,838,0,700000
5,481283,77819,700000
261,838,0,700000
517,838,0,700000
773,838,0,700000
1029,838,0,700000
1285,838,0,700000
0,678894,81849,800000
256,658451,90371,800000
512,66701,8859,800000
768,838,0,800000
1024,838,0,800000
1280,838,0,800000
1,595699,77535,800000
