p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
45	46.3322323	45.2805143	45.2287453	45	46.3650873	46.129322	45.261787	46.595478	46.3909493	45.2753926	45.2211371	46.5418184	46.3930214	45.3066517	45.0263235	46.6426884	46.346578	45.0682211	45.0086405	46.5878596	46.3782268	45.281961	45.2213481	46.3416275	45.3119645	45.2153975	45.0082137	46.3182071	45.9264708	45.2482649	45.0164398	45	46.4929379	45.3452216	46.041584	45	46.532349	46.2963927	45.0575086	46.5958924	46.4320304	46.10448	45.2934649	46.5422328	46.4033195	45.3617354	45.2333039	46.6426884	46.356035	45.3045672	45.2227948	46.5866164	46.3958606	46.3046188	45.2702285	46.3872051	45.3117734	45.0189263	45.0082261	46.3392152	45.3220592	45.2702903	45.0185119
45	47.6235425	45.8215669	45.4293716	45	47.7413975	47.4968305	45.5478585	47.7326156	47.8068682	45.6095304	45.3979802	47.7777261	47.8285256	45.7169134	45.0934793	48.095732	47.6813296	45.2434383	45.0300661	47.9302816	47.7996517	45.6273961	45.3993237	47.6505138	45.922036	45.3943687	45.0273066	47.5853893	47.3706469	45.724874	45.0629806	45	47.6155216	45.8454576	47.1894082	45	47.7494311	47.4965618	45.2073259	47.734807	47.9517568	47.4232128	45.6657215	47.7795031	47.8533917	45.9007315	45.6629565	48.0953176	47.7094709	45.7033162	45.408818	47.9130071	47.6412891	47.524022	45.5763227	47.7913907	45.7162299	45.0708164	45.0274602	47.6275743	45.7491685	45.5688769	45.0682105
45	47.9667593	45.8718983	45.5947301	45	48.6933372	48.3928568	45.8393942	47.3789959	47.4634766	45.7200955	45.5364049	48.8124534	49.067217	46.1909993	45.1886486	48.401358	47.887564	45.6484622	45.0669582	49.099275	49.0327036	46.0138089	45.5482515	47.4010902	46.0234636	45.5517992	45.0519787	48.6075221	48.1329767	45.9452281	45.1228316	45	48.2318172	46.1445108	47.3985337	45	48.4391917	46.9829525	45.348	47.3842034	47.7149885	46.9966851	46.2010667	47.2913589	47.5771919	46.193842	45.8080348	48.4155941	47.9301658	45.8577381	45.3675769	48.1117661	48.0470902	47.8374884	45.8683661	48.0514899	45.8906107	45.1301545	45.0439482	47.7776394	46.1741377	45.8522982	45.1400242
45	47.6024398	46.8138286	45.7528189	45	48.1787929	48.0366053	46.2927542	47.3379698	47.2813553	46.9251319	45.7409774	49.6644111	49.2666629	46.3955677	45.2896665	48.169147	47.7242579	47.305965	46.6502966	50.1220805	50.0396297	46.1786724	45.4617922	47.0562297	46.9551759	46.8374417	46.4066468	49.4158073	48.2025002	45.9501174	45.3768878	45	47.676731	47.1897564	47.0235625	45	47.6584851	46.7495018	46.9099808	47.9937844	47.801255	47.2725174	47.0180339	46.973918	47.4148922	46.7778889	46.0215604	48.2440354	47.966792	46.9072697	46.8995421	47.6134169	47.7690402	47.354055	46.3497436	47.8438389	46.9259149	46.7802105	46.4393527	47.3144651	47.8065626	47.4438872	46.8198636
45	47.6424458	48.2073343	45.9585429	45	47.7912448	47.7734157	46.1792176	47.3004809	47.4510505	48.3262288	46.0767383	49.0861593	48.8365775	46.5260233	45.3614423	47.984613	47.7984984	48.682085	47.9197301	50.6783687	50.1712512	46.3381634	45.4031755	47.0828826	48.2764331	48.1788936	47.7063802	48.5950373	47.9015216	45.9650436	45.3354203	45	47.4154334	48.497773	47.140379	45	47.1263569	46.6908428	48.0280686	49.0718474	47.9154819	47.509416	48.277207	46.7358282	47.2696758	47.1416167	46.3006261	48.1799417	47.9671238	48.4324316	48.1708375	47.2385069	47.6279236	47.1706447	46.558302	47.9678415	48.3975292	48.2262167	47.8417758	47.0529328	49.0315345	48.7544423	48.2237349
45	47.344645	49.2979344	46.2189326	45	47.466515	47.3447058	46.0666064	47.2632357	47.4714107	49.8438372	46.6751813	48.4810937	48.4903693	46.5763518	45.3980345	47.8449899	47.9862879	49.4319232	47.9184584	49.7520661	49.4143931	46.4244408	45.3548779	46.9239768	48.644338	49.2757138	47.9011622	48.0356866	47.6515097	45.9611368	45.2977847	45	47.5559929	49.3932351	47.1771218	45	46.7523621	46.6931074	48.2097284	49.6440242	48.0689285	47.9051611	49.2120798	46.545695	47.1289608	47.1705872	46.550537	48.1957377	48.1379996	49.0195474	49.0327658	46.9570271	47.5408353	47.1227091	46.7264999	47.9128458	49.5358711	49.2724069	48.3624533	46.893461	49.30491	49.1359287	48.0431185
45	47.1687124	49.0829336	46.8870318	45	47.3980371	47.0408459	46.1984826	47.4223029	47.5563535	50.0882256	46.9729724	48.0129923	48.1935386	47.0167555	46.0964506	47.5460347	47.9399598	49.0348456	47.5690706	49.0508383	48.8526877	46.8916436	46.0155829	47.4347465	48.7900457	50.0531662	47.5023519	47.8069256	47.4288299	46.1853609	45.9335336	45	47.7082149	48.8015904	47.4328058	45	47.1519848	47.520684	47.7550813	49.0422181	48.6134544	48.0177586	48.4412754	47.0581642	47.6617304	47.2484525	46.7209378	48.6665532	48.5289726	48.6575201	48.4189637	47.6155359	47.7040793	47.302218	46.8292007	48.5501208	49.1324033	48.7924575	48.1179655	47.415761	48.6631446	48.5388765	47.6717958
45	47.4600292	48.8213971	48.2216804	45	47.5257801	46.9049893	46.572854	48.577123	47.712874	50.6377927	47.2775153	47.6399285	48.0068667	48.4417408	47.5981667	47.6043466	47.8875694	48.7862802	47.3312048	48.5245039	48.479222	48.3461787	47.5447449	47.5546615	48.3121094	49.3069097	47.2403078	48.0091125	47.2643448	46.4579688	47.3231418	45	48.8792683	48.5295538	48.5690208	45	48.356128	48.5416354	47.7296631	48.7370328	49.8284296	48.2855815	47.9631184	48.3381071	48.7732307	47.4552085	47.0514081	49.8965196	48.6673903	48.3874648	47.9513318	48.805723	48.1225496	47.623406	46.9067329	49.726835	48.88951	48.3970059	47.8811012	48.6640395	48.2545295	48.07335	47.3488177
45	47.4492935	48.4898882	49.1850641	45	47.5993189	46.8998479	46.7109731	49.3980739	47.8867885	49.5557099	47.5408841	47.3368821	47.9271822	49.3531279	48.8583732	47.5035014	47.8223177	48.5337925	47.1615057	48.1117969	48.27058	49.4968547	48.8995742	47.6001449	47.9621418	48.5507527	47.0130189	47.6903365	47.1536935	47.0078948	48.4370088	45	49.7229867	48.5189557	49.2950808	45	49.323392	49.5255731	47.3737091	48.4533472	50.7069869	48.5101875	47.7019504	49.3558648	49.919333	47.9746826	47.0882774	50.8445638	49.0853571	48.4070933	47.7984454	49.7670242	48.347476	47.6471894	46.962012	50.676128	48.5716388	48.2803873	47.679565	49.6061313	48.0304188	47.7036872	47.0728854
45	47.8616466	48.2420722	49.0316865	45	47.4311434	46.8993639	46.8216571	49.1610775	48.1896128	48.8361756	47.7122924	47.7162978	47.8745035	48.7884659	48.5306603	47.8830708	47.7828953	48.491541	47.866966	48.2077743	48.134596	49.085958	48.4567985	47.8348618	47.9077428	48.2272778	47.2556906	47.6610324	47.0685606	47.0067738	48.0048347	45	50.3433333	48.6302225	49.1559746	45	49.2430491	49.4324709	47.5854834	48.5768823	51.3615733	48.7146837	47.5463777	48.6890435	49.7510268	48.201249	47.3490173	51.5934839	49.262244	48.2122391	47.6482557	49.6432899	48.5766642	47.6890804	47.013971	51.4465805	48.6092058	47.9393664	47.3017574	49.4632122	48.3277286	47.8574821	47.2956829
