p0	p1	p2	p3	p4	p5	p6	p7	p8
45.00067315	45.00003855	45.00000123	45.02565988	45.00129465	45.00003855	45.68822859	45.02565988	45.00067315
45.00371983	45.00044119	45.00002934	45.05964641	45.00684604	45.00044119	45.53728927	45.05964641	45.00371983
45.00780210	45.00142563	45.00015056	45.07578126	45.01367915	45.00142563	45.42453865	45.07578126	45.00780210
45.01175608	45.00285523	45.00041791	45.08139853	45.01964733	45.00285523	45.33910467	45.08139853	45.01175608
45.01507239	45.00449438	45.00084353	45.08097855	45.02405440	45.00449438	45.27359492	45.08097855	45.01507239
45.01758789	45.00613359	45.00140482	45.07725193	45.02686579	45.00613359	45.22280405	45.07725193	45.01758789
45.01931347	45.00762587	45.00205936	45.07187112	45.02831064	45.00762587	45.18301961	45.07187112	45.01931347
45.02033924	45.00888606	45.00275844	45.06582295	45.02869020	45.00888606	45.15156056	45.06582295	45.02033924
45.02078358	45.00987778	45.00345624	45.05968331	45.02829266	45.00987778	45.12646737	45.05968331	45.02078358
45.02076691	45.01059837	45.00411497	45.05377506	45.02736125	45.01059837	45.10629113	45.05377506	45.02076691
