p0	p1	p2	p3	p4	p5	p6	p7	p8
45.00067316	45.02565991	45.68822844	45.00003855	45.00129466	45.02565991	45.00000123	45.00003855	45.00067316
45.00371983	45.05964644	45.53728913	45.00044119	45.00684605	45.05964644	45.00002934	45.00044119	45.00371983
45.00780211	45.07578130	45.42453846	45.00142563	45.01367916	45.07578130	45.00015056	45.00142563	45.00780211
45.01175609	45.08139855	45.33910454	45.00285524	45.01964734	45.08139855	45.00041791	45.00285524	45.01175609
45.01507240	45.08097855	45.27359486	45.00449438	45.02405440	45.08097855	45.00084353	45.00449438	45.01507240
45.01758789	45.07725192	45.22280404	45.00613359	45.02686579	45.07725192	45.00140482	45.00613359	45.01758789
45.01931348	45.07187111	45.18301958	45.00762587	45.02831064	45.07187111	45.00205937	45.00762587	45.01931348
45.02033924	45.06582295	45.15156052	45.00888607	45.02869020	45.06582295	45.00275844	45.00888607	45.02033924
45.02078358	45.05968330	45.12646732	45.00987778	45.02829266	45.05968330	45.00345624	45.00987778	45.02078358
45.02076691	45.05377505	45.10629109	45.01059838	45.02736125	45.05377505	45.00411497	45.01059838	45.02076691
