p0	p1	p2	p3	p4	p5	p6	p7	p8
45.02565975	45.00129463	45.00003855	45.66324254	45.02440367	45.00063582	45.02565975	45.00129463	45.00003855
45.05964638	45.00684601	45.00044119	45.48136309	45.05324156	45.00330796	45.05964638	45.00684601	45.00044119
45.07578126	45.01367913	45.00142563	45.35655985	45.06352777	45.00652702	45.07578126	45.01367913	45.00142563
45.08139855	45.01964732	45.00285523	45.26946260	45.06460649	45.00931876	45.08139855	45.01964732	45.00285523
45.08097858	45.02405439	45.00449437	45.20768931	45.06141862	45.01142155	45.08097858	45.02405439	45.00449437
45.07725196	45.02686579	45.00613359	45.16314079	45.05651988	45.01285914	45.07725196	45.02686579	45.00613359
45.07187115	45.02831064	45.00762587	45.13046304	45.05118657	45.01374700	45.07187115	45.02831064	45.00762587
45.06582297	45.02869020	45.00888606	45.10607828	45.04601913	45.01421166	45.06582297	45.02869020	45.00888606
45.05968333	45.02829267	45.00987778	45.08756946	45.04126886	45.01436212	45.05968333	45.02829267	45.00987778
45.05377507	45.02736126	45.01059838	45.07328529	45.03701275	45.01428362	45.05377507	45.02736126	45.01059838
