p0	p1	p2	p3	p4	p5	p6	p7	p8
45.00129466	45.02440378	45.00129466	45.02440378	45.63947389	45.02440378	45.00129466	45.02440378	45.00129466
45.00684604	45.05324158	45.00684604	45.05324158	45.43142908	45.05324158	45.00684604	45.05324158	45.00684604
45.01367915	45.06352780	45.01367915	45.06352780	45.29955874	45.06352780	45.01367915	45.06352780	45.01367915
45.01964734	45.06460649	45.01964734	45.06460649	45.21417483	45.06460649	45.01964734	45.06460649	45.01964734
45.02405441	45.06141860	45.02405441	45.06141860	45.15769246	45.06141860	45.02405441	45.06141860	45.02405441
45.02686580	45.05651986	45.02686580	45.05651986	45.11948053	45.05651986	45.02686580	45.05651986	45.02686580
45.02831064	45.05118655	45.02831064	45.05118655	45.09302426	45.05118655	45.02831064	45.05118655	45.02831064
45.02869020	45.04601911	45.02869020	45.04601911	45.07427192	45.04601911	45.02869020	45.04601911	45.02869020
45.02829267	45.04126884	45.02829267	45.04126884	45.06066418	45.04126884	45.02829267	45.04126884	45.02829267
45.02736126	45.03701274	45.02736126	45.03701274	45.05055799	45.03701274	45.02736126	45.03701274	45.02736126
