p0	p1	p2	p3	p4	p5	p6	p7	p8
45.02565977	45.66324243	45.02565977	45.00129464	45.02440369	45.00129464	45.00003855	45.00063583	45.00003855
45.05964644	45.48136287	45.05964644	45.00684601	45.05324161	45.00684601	45.00044118	45.00330796	45.00044118
45.07578131	45.35655965	45.07578131	45.01367913	45.06352781	45.01367913	45.00142563	45.00652703	45.00142563
45.08139855	45.26946257	45.08139855	45.01964732	45.06460649	45.01964732	45.00285523	45.00931876	45.00285523
45.08097858	45.20768928	45.08097858	45.02405440	45.06141862	45.02405440	45.00449437	45.01142155	45.00449437
45.07725196	45.16314077	45.07725196	45.02686579	45.05651988	45.02686579	45.00613359	45.01285914	45.00613359
45.07187114	45.13046304	45.07187114	45.02831064	45.05118657	45.02831064	45.00762587	45.01374700	45.00762587
45.06582297	45.10607828	45.06582297	45.02869020	45.04601913	45.02869020	45.00888606	45.01421166	45.00888606
45.05968333	45.08756946	45.05968333	45.02829267	45.04126885	45.02829267	45.00987778	45.01436212	45.00987778
45.05377507	45.07328527	45.05377507	45.02736126	45.03701275	45.02736126	45.01059838	45.01428363	45.01059838
