p0	p1	p2	p3	p4	p5	p6	p7	p8
45.68822893	45.02565980	45.00067315	45.02565980	45.00129464	45.00003855	45.00067315	45.00003855	45.00000123
45.53728955	45.05964637	45.00371982	45.05964637	45.00684603	45.00044119	45.00371982	45.00044119	45.00002934
45.42453879	45.07578127	45.00780209	45.07578127	45.01367913	45.00142563	45.00780209	45.00142563	45.00015056
45.33910475	45.08139855	45.01175608	45.08139855	45.01964732	45.00285523	45.01175608	45.00285523	45.00041791
45.27359498	45.08097857	45.01507239	45.08097857	45.02405440	45.00449437	45.01507239	45.00449437	45.00084353
45.22280414	45.07725195	45.01758789	45.07725195	45.02686578	45.00613359	45.01758789	45.00613359	45.00140482
45.18301965	45.07187114	45.01931348	45.07187114	45.02831064	45.00762587	45.01931348	45.00762587	45.00205936
45.15156057	45.06582297	45.02033924	45.06582297	45.02869020	45.00888606	45.02033924	45.00888606	45.00275843
45.12646736	45.05968332	45.02078358	45.05968332	45.02829267	45.00987778	45.02078358	45.00987778	45.00345624
45.10629113	45.05377507	45.02076692	45.05377507	45.02736126	45.01059838	45.02076692	45.01059838	45.00411497
