p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35
45.00000000	45.00000000	45.00000000	45.00000000	45.00000000	45.00000000	45.00000001	45.00000000	45.00000000	45.00000000	45.00000000	45.00000000	45.00000091	45.00000006	45.00000000	45.00000000	45.00000000	45.00000000	45.00004649	45.00000266	45.00000008	45.00000000	45.00000000	45.00000000	45.00180701	45.00009117	45.00000266	45.00000006	45.00000000	45.00000000	45.04846685	45.00180701	45.00004649	45.00000091	45.00000001	45.00000000
45.00000001	45.00000000	45.00000000	45.00000000	45.00000000	45.00000000	45.00000034	45.00000004	45.00000000	45.00000000	45.00000000	45.00000000	45.00001049	45.00000128	45.00000008	45.00000000	45.00000000	45.00000000	45.00025146	45.00002979	45.00000190	45.00000008	45.00000000	45.00000000	45.00420011	45.00048203	45.00002979	45.00000128	45.00000004	45.00000000	45.03783729	45.00420011	45.00025146	45.00001049	45.00000034	45.00000001
45.00000007	45.00000001	45.00000000	45.00000000	45.00000000	45.00000000	45.00000174	45.00000032	45.00000003	45.00000000	45.00000000	45.00000000	45.00003421	45.00000632	45.00000063	45.00000004	45.00000000	45.00000000	45.00051523	45.00009405	45.00000930	45.00000063	45.00000003	45.00000000	45.00533496	45.00096267	45.00009405	45.00000632	45.00000032	45.00000001	45.02989697	45.00533496	45.00051523	45.00003421	45.00000174	45.00000007
45.00000028	45.00000007	45.00000001	45.00000000	45.00000000	45.00000000	45.00000482	45.00000118	45.00000016	45.00000001	45.00000000	45.00000000	45.00006922	45.00001688	45.00000228	45.00000021	45.00000001	45.00000000	45.00075867	45.00018401	45.00002467	45.00000228	45.00000016	45.00000001	45.00572740	45.00138125	45.00018401	45.00001688	45.00000118	45.00000007	45.02388007	45.00572740	45.00075867	45.00006922	45.00000482	45.00000028
45.00000074	45.00000022	45.00000004	45.00000000	45.00000000	45.00000000	45.00000974	45.00000292	45.00000049	45.00000006	45.00000001	45.00000000	45.00011010	45.00003288	45.00000555	45.00000065	45.00000006	45.00000000	45.00095129	45.00028308	45.00004765	45.00000555	45.00000049	45.00000004	45.00569276	45.00168813	45.00028308	45.00003288	45.00000292	45.00000022	45.01926580	45.00569276	45.00095129	45.00011010	45.00000974	45.00000074
45.00000151	45.00000053	45.00000011	45.00000002	45.00000000	45.00000000	45.00001627	45.00000568	45.00000115	45.00000016	45.00000002	45.00000000	45.00015188	45.00005292	45.00001068	45.00000150	45.00000016	45.00000002	45.00108659	45.00037771	45.00007606	45.00001068	45.00000115	45.00000011	45.00542349	45.00188058	45.00037771	45.00005292	45.00000568	45.00000053	45.01568745	45.00542349	45.00108659	45.00015188	45.00001627	45.00000151
45.00000264	45.00000104	45.00000024	45.00000004	45.00000000	45.00000000	45.00002395	45.00000944	45.00000221	45.00000036	45.00000005	45.00000000	45.00019082	45.00007512	45.00001754	45.00000288	45.00000036	45.00000004	45.00116900	45.00045934	45.00010706	45.00001754	45.00000221	45.00000024	45.00503636	45.00197478	45.00045934	45.00007512	45.00000944	45.00000104	45.01288348	45.00503636	45.00116900	45.00019082	45.00002395	45.00000264
45.00000413	45.00000180	45.00000048	45.00000009	45.00000001	45.00000000	45.00003227	45.00001404	45.00000371	45.00000069	45.00000010	45.00000001	45.00022463	45.00009761	45.00002575	45.00000481	45.00000069	45.00000009	45.00120715	45.00052376	45.00013794	45.00002575	45.00000371	45.00000048	45.00460135	45.00199226	45.00052376	45.00009761	45.00001404	45.00000180	45.01066510	45.00460135	45.00120715	45.00022463	45.00003227	45.00000413
45.00000593	45.00000280	45.00000082	45.00000017	45.00000003	45.00000000	45.00004072	45.00001922	45.00000563	45.00000118	45.00000019	45.00000003	45.00025211	45.00011887	45.00003479	45.00000728	45.00000118	45.00000017	45.00121054	45.00056994	45.00016655	45.00003479	45.00000563	45.00000082	45.00415952	45.00195381	45.00056994	45.00011887	45.00001922	45.00000280	45.00889439	45.00415952	45.00121054	45.00025211	45.00004072	45.00000593
45.00000799	45.00000404	45.00000130	45.00000030	45.00000005	45.00000001	45.00004886	45.00002470	45.00000791	45.00000183	45.00000033	45.00000005	45.00027292	45.00013779	45.00004410	45.00001017	45.00000183	45.00000030	45.00118795	45.00059883	45.00019141	45.00004410	45.00000791	45.00000130	45.00373405	45.00187714	45.00059883	45.00013779	45.00002470	45.00000404	45.00746944	45.00373405	45.00118795	45.00027292	45.00004886	45.00000799
45.00001022	45.00000548	45.00000190	45.00000048	45.00000009	45.00000002	45.00005637	45.00003019	45.00001046	45.00000263	45.00000052	45.00000009	45.00028729	45.00015370	45.00005320	45.00001338	45.00000263	45.00000048	45.00114691	45.00061251	45.00021168	45.00005320	45.00001046	45.00000190	45.00333713	45.00177625	45.00061251	45.00015370	45.00003019	45.00000548	45.00631411	45.00333713	45.00114691	45.00028729	45.00005637	45.00001022
45.00001255	45.00000707	45.00000263	45.00000072	45.00000015	45.00000003	45.00006301	45.00003547	45.00001317	45.00000358	45.00000077	45.00000015	45.00029579	45.00016629	45.00006165	45.00001676	45.00000358	45.00000072	45.00109351	45.00061349	45.00022709	45.00006165	45.00001317	45.00000263	45.00297429	45.00166179	45.00061349	45.00016629	45.00003547	45.00000707	45.00537095	45.00297429	45.00109351	45.00029579	45.00006301	45.00001255
