p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35
45.00000603	45.00001147	45.00002249	45.00003685	45.00004865	45.00005331	45.00001147	45.00002194	45.00004333	45.00007166	45.00009526	45.00010351	45.00002249	45.00004333	45.00008661	45.00014567	45.00019666	45.00020976	45.00003685	45.00007166	45.00014567	45.00025231	45.00035331	45.00036108	45.00004865	45.00009526	45.00019666	45.00035331	45.00053099	45.00050121	45.00005331	45.00010351	45.00020976	45.00036108	45.00050121	45.00051746
45.00000629	45.00001161	45.00002221	45.00003586	45.00004715	45.00005178	45.00001161	45.00002154	45.00004157	45.00006785	45.00008986	45.00009781	45.00002221	45.00004157	45.00008134	45.00013532	45.00018232	45.00019443	45.00003586	45.00006785	45.00013532	45.00023265	45.00032623	45.00033204	45.00004715	45.00008986	45.00018232	45.00032623	45.00049354	45.00046129	45.00005178	45.00009781	45.00019443	45.00033204	45.00046129	45.00047460
45.00000651	45.00001167	45.00002183	45.00003479	45.00004555	45.00005012	45.00001167	45.00002106	45.00003980	45.00006420	45.00008474	45.00009232	45.00002183	45.00003980	45.00007638	45.00012588	45.00016934	45.00018040	45.00003479	45.00006420	45.00012588	45.00021517	45.00030233	45.00030619	45.00004555	45.00008474	45.00016934	45.00030233	45.00046068	45.00042599	45.00005012	45.00009232	45.00018040	45.00030619	45.00042599	45.00043638
45.00000668	45.00001166	45.00002137	45.00003366	45.00004390	45.00004835	45.00001166	45.00002053	45.00003804	45.00006071	45.00007990	45.00008708	45.00002137	45.00003804	45.00007173	45.00011728	45.00015759	45.00016760	45.00003366	45.00006071	45.00011728	45.00019963	45.00028120	45.00028317	45.00004390	45.00007990	45.00015759	45.00028120	45.00043177	45.00039476	45.00004835	45.00008708	45.00016760	45.00028317	45.00039476	45.00040233
45.00000681	45.00001160	45.00002085	45.00003248	45.00004221	45.00004653	45.00001160	45.00001995	45.00003631	45.00005740	45.00007535	45.00008210	45.00002085	45.00003631	45.00006739	45.00010945	45.00014698	45.00015596	45.00003248	45.00005740	45.00010945	45.00018580	45.00026250	45.00026269	45.00004221	45.00007535	45.00014698	45.00026250	45.00040628	45.00036712	45.00004653	45.00008210	45.00015596	45.00026269	45.00036712	45.00037203
45.00000690	45.00001149	45.00002029	45.00003128	45.00004052	45.00004467	45.00001149	45.00001934	45.00003462	45.00005428	45.00007108	45.00007740	45.00002029	45.00003462	45.00006336	45.00010235	45.00013739	45.00014540	45.00003128	45.00005428	45.00010235	45.00017348	45.00024592	45.00024447	45.00004052	45.00007108	45.00013739	45.00024592	45.00038378	45.00034265	45.00004467	45.00007740	45.00014540	45.00024447	45.00034265	45.00034508
45.00000695	45.00001134	45.00001968	45.00003008	45.00003884	45.00004281	45.00001134	45.00001871	45.00003299	45.00005135	45.00006710	45.00007299	45.00001968	45.00003299	45.00005963	45.00009590	45.00012874	45.00013582	45.00003008	45.00005135	45.00009590	45.00016251	45.00023122	45.00022824	45.00003884	45.00006710	45.00012874	45.00023122	45.00036387	45.00032096	45.00004281	45.00007299	45.00013582	45.00022824	45.00032096	45.00032113
45.00000696	45.00001115	45.00001906	45.00002888	45.00003718	45.00004097	45.00001115	45.00001807	45.00003143	45.00004860	45.00006339	45.00006886	45.00001906	45.00003143	45.00005619	45.00009006	45.00012093	45.00012715	45.00002888	45.00004860	45.00009006	45.00015272	45.00021816	45.00021380	45.00003718	45.00006339	45.00012093	45.00021816	45.00034624	45.00030175	45.00004097	45.00006886	45.00012715	45.00021380	45.00030175	45.00029985
45.00000695	45.00001093	45.00001842	45.00002770	45.00003557	45.00003917	45.00001093	45.00001742	45.00002994	45.00004603	45.00005994	45.00006502	45.00001842	45.00002994	45.00005301	45.00008476	45.00011389	45.00011931	45.00002770	45.00004603	45.00008476	45.00014399	45.00020656	45.00020095	45.00003557	45.00005994	45.00011389	45.00020656	45.00033060	45.00028471	45.00003917	45.00006502	45.00011931	45.00020095	45.00028471	45.00028096
45.00000691	45.00001069	45.00001778	45.00002655	45.00003400	45.00003741	45.00001069	45.00001678	45.00002852	45.00004363	45.00005674	45.00006145	45.00001778	45.00002852	45.00005009	45.00007996	45.00010754	45.00011223	45.00002655	45.00004363	45.00007996	45.00013619	45.00019624	45.00018950	45.00003400	45.00005674	45.00010754	45.00019624	45.00031672	45.00026959	45.00003741	45.00006145	45.00011223	45.00018950	45.00026959	45.00026418
45.00000684	45.00001043	45.00001714	45.00002543	45.00003249	45.00003572	45.00001043	45.00001616	45.00002718	45.00004141	45.00005379	45.00005814	45.00001714	45.00002718	45.00004740	45.00007562	45.00010182	45.00010584	45.00002543	45.00004141	45.00007562	45.00012923	45.00018705	45.00017931	45.00003249	45.00005379	45.00010182	45.00018705	45.00030438	45.00025618	45.00003572	45.00005814	45.00010584	45.00017931	45.00025618	45.00024929
45.00000676	45.00001016	45.00001651	45.00002436	45.00003105	45.00003410	45.00001016	45.00001554	45.00002591	45.00003934	45.00005106	45.00005508	45.00001651	45.00002591	45.00004494	45.00007170	45.00009667	45.00010009	45.00002436	45.00003934	45.00007170	45.00012301	45.00017887	45.00017024	45.00003105	45.00005106	45.00009667	45.00017887	45.00029339	45.00024428	45.00003410	45.00005508	45.00010009	45.00017024	45.00024428	45.00023607
45.00000666	45.00000988	45.00001589	45.00002332	45.00002967	45.00003255	45.00000988	45.00001495	45.00002472	45.00003743	45.00004855	45.00005226	45.00001589	45.00002472	45.00004269	45.00006815	45.00009203	45.00009490	45.00002332	45.00003743	45.00006815	45.00011745	45.00017157	45.00016216	45.00002967	45.00004855	45.00009203	45.00017157	45.00028360	45.00023371	45.00003255	45.00005226	45.00009490	45.00016216	45.00023371	45.00022435
45.00000654	45.00000959	45.00001528	45.00002234	45.00002836	45.00003107	45.00000959	45.00001437	45.00002361	45.00003567	45.00004624	45.00004967	45.00001528	45.00002361	45.00004063	45.00006494	45.00008785	45.00009023	45.00002234	45.00003567	45.00006494	45.00011248	45.00016507	45.00015496	45.00002836	45.00004624	45.00008785	45.00016507	45.00027487	45.00022433	45.00003107	45.00004967	45.00009023	45.00015496	45.00022433	45.00021394
45.00000641	45.00000930	45.00001470	45.00002140	45.00002713	45.00002968	45.00000930	45.00001382	45.00002257	45.00003404	45.00004411	45.00004729	45.00001470	45.00002257	45.00003874	45.00006204	45.00008408	45.00008602	45.00002140	45.00003404	45.00006204	45.00010803	45.00015926	45.00014854	45.00002713	45.00004411	45.00008408	45.00015926	45.00026708	45.00021599	45.00002968	45.00004729	45.00008602	45.00014854	45.00021599	45.00020470
45.00000627	45.00000901	45.00001414	45.00002051	45.00002596	45.00002837	45.00000901	45.00001329	45.00002160	45.00003254	45.00004217	45.00004510	45.00001414	45.00002160	45.00003702	45.00005942	45.00008069	45.00008224	45.00002051	45.00003254	45.00005942	45.00010405	45.00015408	45.00014282	45.00002596	45.00004217	45.00008069	45.00015408	45.00026011	45.00020857	45.00002837	45.00004510	45.00008224	45.00014282	45.00020857	45.00019651
45.00000612	45.00000873	45.00001360	45.00001967	45.00002487	45.00002714	45.00000873	45.00001279	45.00002069	45.00003116	45.00004038	45.00004310	45.00001360	45.00002069	45.00003545	45.00005705	45.00007764	45.00007884	45.00001967	45.00003116	45.00005705	45.00010049	45.00014945	45.00013773	45.00002487	45.00004038	45.00007764	45.00014945	45.00025388	45.00020198	45.00002714	45.00004310	45.00007884	45.00013773	45.00020198	45.00018923
45.00000597	45.00000845	45.00001309	45.00001888	45.00002384	45.00002599	45.00000845	45.00001231	45.00001985	45.00002989	45.00003875	45.00004127	45.00001309	45.00001985	45.00003402	45.00005491	45.00007490	45.00007578	45.00001888	45.00002989	45.00005491	45.00009730	45.00014531	45.00013318	45.00002384	45.00003875	45.00007490	45.00014531	45.00024829	45.00019611	45.00002599	45.00004127	45.00007578	45.00013318	45.00019611	45.00018277
45.00000582	45.00000818	45.00001260	45.00001814	45.00002289	45.00002491	45.00000818	45.00001185	45.00001908	45.00002873	45.00003726	45.00003960	45.00001260	45.00001908	45.00003272	45.00005298	45.00007243	45.00007303	45.00001814	45.00002873	45.00005298	45.00009444	45.00014161	45.00012913	45.00002289	45.00003726	45.00007243	45.00014161	45.00024328	45.00019089	45.00002491	45.00003960	45.00007303	45.00012913	45.00019089	45.00017704
45.00000566	45.00000791	45.00001214	45.00001744	45.00002199	45.00002391	45.00000791	45.00001143	45.00001836	45.00002766	45.00003589	45.00003808	45.00001214	45.00001836	45.00003153	45.00005124	45.00007021	45.00007056	45.00001744	45.00002766	45.00005124	45.00009188	45.00013831	45.00012552	45.00002199	45.00003589	45.00007021	45.00013831	45.00023878	45.00018624	45.00002391	45.00003808	45.00007056	45.00012552	45.00018624	45.00017195
45.00000551	45.00000766	45.00001171	45.00001680	45.00002117	45.00002298	45.00000766	45.00001102	45.00001769	45.00002668	45.00003465	45.00003669	45.00001171	45.00001769	45.00003045	45.00004967	45.00006821	45.00006835	45.00001680	45.00002668	45.00004967	45.00008959	45.00013534	45.00012230	45.00002117	45.00003465	45.00006821	45.00013534	45.00023473	45.00018210	45.00002298	45.00003669	45.00006835	45.00012230	45.00018210	45.00016743
45.00000536	45.00000741	45.00001130	45.00001619	45.00002040	45.00002212	45.00000741	45.00001065	45.00001707	45.00002579	45.00003352	45.00003542	45.00001130	45.00001707	45.00002947	45.00004826	45.00006641	45.00006636	45.00001619	45.00002579	45.00004826	45.00008753	45.00013269	45.00011942	45.00002040	45.00003352	45.00006641	45.00013269	45.00023109	45.00017841	45.00002212	45.00003542	45.00006636	45.00011942	45.00017841	45.00016342
45.00000521	45.00000718	45.00001091	45.00001563	45.00001969	45.00002133	45.00000718	45.00001029	45.00001651	45.00002497	45.00003248	45.00003427	45.00001091	45.00001651	45.00002858	45.00004698	45.00006480	45.00006457	45.00001563	45.00002497	45.00004698	45.00008569	45.00013031	45.00011686	45.00001969	45.00003248	45.00006480	45.00013031	45.00022780	45.00017512	45.00002133	45.00003427	45.00006457	45.00011686	45.00017512	45.00015986
45.00000506	45.00000695	45.00001055	45.00001511	45.00001903	45.00002059	45.00000695	45.00000996	45.00001598	45.00002423	45.00003155	45.00003323	45.00001055	45.00001598	45.00002777	45.00004583	45.00006334	45.00006297	45.00001511	45.00002423	45.00004583	45.00008404	45.00012818	45.00011457	45.00001903	45.00003155	45.00006334	45.00012818	45.00022483	45.00017218	45.00002059	45.00003323	45.00006297	45.00011457	45.00017218	45.00015669
45.00000492	45.00000674	45.00001021	45.00001463	45.00001842	45.00001992	45.00000674	45.00000965	45.00001550	45.00002355	45.00003069	45.00003228	45.00001021	45.00001550	45.00002703	45.00004479	45.00006204	45.00006153	45.00001463	45.00002355	45.00004479	45.00008256	45.00012627	45.00011252	45.00001842	45.00003069	45.00006204	45.00012627	45.00022214	45.00016956	45.00001992	45.00003228	45.00006153	45.00011252	45.00016956	45.00015387
45.00000478	45.00000654	45.00000990	45.00001419	45.00001787	45.00001930	45.00000654	45.00000936	45.00001506	45.00002293	45.00002992	45.00003142	45.00000990	45.00001506	45.00002637	45.00004386	45.00006086	45.00006024	45.00001419	45.00002293	45.00004386	45.00008123	45.00012455	45.00011070	45.00001787	45.00002992	45.00006086	45.00012455	45.00021971	45.00016721	45.00001930	45.00003142	45.00006024	45.00011070	45.00016721	45.00015137
