p0	p1	p2	p3	p4	p5	p6	p7	p8
45.00003855	45.00129464	45.02565979	45.00063583	45.02440371	45.66324233	45.00003855	45.00129464	45.02565979
45.00044119	45.00684602	45.05964645	45.00330796	45.05324162	45.48136277	45.00044119	45.00684602	45.05964645
45.00142563	45.01367914	45.07578130	45.00652703	45.06352780	45.35655962	45.00142563	45.01367914	45.07578130
45.00285523	45.01964732	45.08139856	45.00931876	45.06460649	45.26946251	45.00285523	45.01964732	45.08139856
45.00449437	45.02405440	45.08097858	45.01142155	45.06141862	45.20768922	45.00449437	45.02405440	45.08097858
45.00613359	45.02686579	45.07725195	45.01285914	45.05651987	45.16314076	45.00613359	45.02686579	45.07725195
45.00762587	45.02831064	45.07187114	45.01374700	45.05118656	45.13046299	45.00762587	45.02831064	45.07187114
45.00888606	45.02869020	45.06582297	45.01421166	45.04601913	45.10607826	45.00888606	45.02869020	45.06582297
45.00987778	45.02829267	45.05968332	45.01436211	45.04126885	45.08756947	45.00987778	45.02829267	45.05968332
45.01059838	45.02736126	45.05377507	45.01428362	45.03701275	45.07328529	45.01059838	45.02736126	45.05377507
