p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35
45.00000000	45.00000000	45.00000000	45.00000000	45.00000000	45.00000001	45.00000000	45.00000000	45.00000000	45.00000000	45.00000005	45.00000090	45.00000000	45.00000000	45.00000000	45.00000008	45.00000260	45.00004560	45.00000000	45.00000000	45.00000005	45.00000258	45.00008857	45.00176143	45.00000000	45.00000001	45.00000086	45.00004392	45.00171850	45.04670633	45.00000000	45.00000000	45.00000006	45.00000266	45.00009117	45.00180701
45.00000000	45.00000000	45.00000000	45.00000000	45.00000004	45.00000034	45.00000000	45.00000000	45.00000000	45.00000008	45.00000124	45.00001016	45.00000000	45.00000000	45.00000008	45.00000181	45.00002855	45.00024131	45.00000000	45.00000004	45.00000120	45.00002798	45.00045352	45.00395913	45.00000001	45.00000030	45.00000930	45.00022357	45.00374786	45.03388865	45.00000000	45.00000004	45.00000128	45.00002979	45.00048203	45.00420010
45.00000000	45.00000000	45.00000000	45.00000003	45.00000032	45.00000174	45.00000000	45.00000000	45.00000004	45.00000060	45.00000601	45.00003255	45.00000000	45.00000003	45.00000059	45.00000870	45.00008805	45.00048275	45.00000001	45.00000029	45.00000573	45.00008538	45.00087494	45.00485394	45.00000006	45.00000145	45.00002853	45.00043048	45.00446633	45.02507724	45.00000001	45.00000032	45.00000632	45.00009405	45.00096267	45.00533496
45.00000000	45.00000000	45.00000002	45.00000016	45.00000118	45.00000482	45.00000000	45.00000001	45.00000020	45.00000213	45.00001577	45.00006468	45.00000001	45.00000015	45.00000208	45.00002255	45.00016831	45.00069427	45.00000006	45.00000104	45.00001482	45.00016163	45.00121412	45.00503795	45.00000022	45.00000380	45.00005461	45.00059932	45.00453017	45.01891135	45.00000007	45.00000118	45.00001688	45.00018401	45.00138125	45.00572740
45.00000000	45.00000001	45.00000006	45.00000049	45.00000292	45.00000974	45.00000000	45.00000005	45.00000060	45.00000510	45.00003018	45.00010110	45.00000003	45.00000044	45.00000496	45.00004259	45.00025312	45.00085092	45.00000019	45.00000248	45.00002797	45.00024099	45.00143793	45.00485157	45.00000055	45.00000732	45.00008278	45.00071586	45.00428771	45.01452436	45.00000022	45.00000292	45.00003288	45.00028308	45.00168813	45.00569276
45.00000000	45.00000002	45.00000016	45.00000115	45.00000568	45.00001627	45.00000001	45.00000015	45.00000136	45.00000964	45.00004777	45.00013712	45.00000009	45.00000100	45.00000934	45.00006653	45.00033048	45.00095098	45.00000044	45.00000469	45.00004374	45.00031234	45.00155578	45.00448878	45.00000109	45.00001174	45.00010964	45.00078493	45.00392063	45.01135058	45.00000053	45.00000568	45.00005292	45.00037771	45.00188058	45.00542349
45.00000001	45.00000005	45.00000036	45.00000221	45.00000944	45.00002395	45.00000004	45.00000032	45.00000256	45.00001558	45.00006672	45.00016952	45.00000021	45.00000189	45.00001502	45.00009173	45.00039367	45.00100212	45.00000084	45.00000760	45.00006045	45.00036982	45.00159055	45.00405819	45.00000184	45.00001672	45.00013325	45.00081672	45.00352093	45.00901617	45.00000104	45.00000944	45.00007512	45.00045935	45.00197477	45.00503635
45.00000001	45.00000010	45.00000069	45.00000371	45.00001404	45.00003227	45.00000008	45.00000061	45.00000421	45.00002252	45.00008537	45.00019649	45.00000040	45.00000312	45.00002163	45.00011591	45.00044019	45.00101479	45.00000141	45.00001103	45.00007668	45.00041157	45.00156610	45.00361884	45.00000281	45.00002194	45.00015277	45.00082133	45.00313287	45.00727097	45.00000180	45.00001404	45.00009761	45.00052376	45.00199226	45.00460135
45.00000003	45.00000019	45.00000118	45.00000563	45.00001922	45.00004072	45.00000015	45.00000102	45.00000627	45.00002998	45.00010245	45.00021732	45.00000068	45.00000464	45.00002869	45.00013740	45.00047029	45.00099915	45.00000215	45.00001477	45.00009136	45.00043817	45.00150275	45.00320110	45.00000395	45.00002713	45.00016802	45.00080715	45.00277567	45.00594549	45.00000280	45.00001922	45.00011887	45.00056994	45.00195381	45.00415952
45.00000005	45.00000033	45.00000183	45.00000791	45.00002470	45.00004886	45.00000025	45.00000155	45.00000865	45.00003749	45.00011714	45.00023205	45.00000105	45.00000641	45.00003576	45.00015521	45.00048574	45.00096389	45.00000304	45.00001861	45.00010386	45.00045153	45.00141610	45.00281903	45.00000524	45.00003208	45.00017923	45.00078053	45.00245577	45.00492345	45.00000404	45.00002470	45.00013779	45.00059883	45.00187713	45.00373405
45.00000009	45.00000052	45.00000263	45.00001046	45.00003019	45.00005637	45.00000040	45.00000221	45.00001123	45.00004464	45.00012899	45.00024114	45.00000152	45.00000835	45.00004245	45.00016895	45.00048900	45.00091599	45.00000406	45.00002236	45.00011389	45.00045403	45.00131745	45.00247753	45.00000664	45.00003664	45.00018679	45.00074608	45.00217342	45.00412403	45.00000548	45.00003019	45.00015370	45.00061251	45.00177625	45.00333713
45.00000015	45.00000077	45.00000358	45.00001317	45.00003547	45.00006301	45.00000059	45.00000297	45.00001389	45.00005112	45.00013789	45.00024533	45.00000207	45.00001035	45.00004848	45.00017860	45.00048267	45.00086073	45.00000516	45.00002588	45.00012139	45.00044806	45.00121459	45.00217659	45.00000811	45.00004071	45.00019116	45.00070711	45.00192603	45.00349033	45.00000707	45.00003547	45.00016629	45.00061349	45.00166179	45.00297429
45.00000023	45.00000107	45.00000464	45.00001592	45.00004033	45.00006865	45.00000083	45.00000381	45.00001652	45.00005672	45.00014396	45.00024540	45.00000268	45.00001234	45.00005366	45.00018445	45.00046916	45.00080203	45.00000631	45.00002906	45.00012651	45.00043582	45.00111265	45.00191371	45.00000960	45.00004423	45.00019280	45.00066590	45.00171000	45.00298179	45.00000876	45.00004033	45.00017553	45.00060435	45.00154147	45.00264707
45.00000034	45.00000143	45.00000578	45.00001861	45.00004466	45.00007322	45.00000110	45.00000469	45.00001902	45.00006133	45.00014742	45.00024217	45.00000335	45.00001425	45.00005789	45.00018695	45.00045057	45.00074266	45.00000748	45.00003183	45.00012947	45.00041916	45.00101483	45.00168531	45.00001108	45.00004717	45.00019216	45.00062403	45.00152154	45.00256909	45.00001050	45.00004466	45.00018158	45.00058750	45.00142073	45.00235471
45.00000046	45.00000183	45.00000696	45.00002115	45.00004834	45.00007671	45.00000142	45.00000559	45.00002131	45.00006490	45.00014862	45.00023636	45.00000406	45.00001602	45.00006115	45.00018661	45.00042865	45.00068450	45.00000863	45.00003415	45.00013055	45.00039959	45.00092296	45.00148746	45.00001250	45.00004952	45.00018966	45.00058261	45.00135706	45.00223076	45.00001222	45.00004834	45.00018474	45.00056505	45.00130325	45.00209519
45.00000061	45.00000226	45.00000814	45.00002348	45.00005136	45.00007919	45.00000176	45.00000649	45.00002334	45.00006748	45.00014791	45.00022864	45.00000477	45.00001761	45.00006347	45.00018397	45.00040477	45.00062881	45.00000973	45.00003601	45.00013005	45.00037831	45.00083799	45.00131632	45.00001386	45.00005131	45.00018566	45.00054236	45.00121338	45.00195088	45.00001389	45.00005136	45.00018538	45.00053879	45.00119138	45.00186588
45.00000079	45.00000273	45.00000928	45.00002555	45.00005370	45.00008071	45.00000212	45.00000735	45.00002506	45.00006911	45.00014564	45.00021957	45.00000547	45.00001899	45.00006491	45.00017951	45.00038001	45.00057633	45.00001077	45.00003743	45.00012825	45.00035623	45.00076024	45.00116836	45.00001511	45.00005256	45.00018049	45.00050377	45.00108767	45.00171748	45.00001546	45.00005370	45.00018388	45.00051019	45.00108653	45.00166391
45.00000098	45.00000320	45.00001037	45.00002732	45.00005538	45.00008137	45.00000249	45.00000815	45.00002647	45.00006989	45.00014214	45.00020960	45.00000615	45.00002015	45.00006556	45.00017370	45.00035517	45.00052747	45.00001172	45.00003843	45.00012543	45.00033404	45.00068964	45.00104040	45.00001623	45.00005331	45.00017444	45.00046714	45.00097754	45.00152147	45.00001689	45.00005538	45.00018062	45.00048041	45.00098940	45.00148642
45.00000119	45.00000367	45.00001137	45.00002877	45.00005644	45.00008127	45.00000287	45.00000889	45.00002757	45.00006993	45.00013771	45.00019914	45.00000680	45.00002107	45.00006553	45.00016693	45.00033083	45.00048241	45.00001257	45.00003904	45.00012182	45.00031221	45.00062590	45.00092964	45.00001723	45.00005360	45.00016774	45.00043265	45.00088091	45.00135581	45.00001818	45.00005644	45.00017597	45.00045036	45.00090025	45.00133069
45.00000141	45.00000414	45.00001227	45.00002991	45.00005694	45.00008053	45.00000325	45.00000954	45.00002836	45.00006934	45.00013261	45.00018846	45.00000739	45.00002178	45.00006491	45.00015951	45.00030739	45.00044114	45.00001331	45.00003931	45.00011762	45.00029111	45.00056859	45.00083366	45.00001808	45.00005350	45.00016061	45.00040039	45.00079601	45.00121504	45.00001929	45.00005694	45.00017026	45.00042070	45.00081899	45.00119417
45.00000164	45.00000458	45.00001305	45.00003074	45.00005695	45.00007924	45.00000361	45.00001011	45.00002886	45.00006823	45.00012706	45.00017781	45.00000793	45.00002227	45.00006382	45.00015172	45.00028510	45.00040354	45.00001394	45.00003926	45.00011302	45.00027097	45.00051722	45.00075038	45.00001879	45.00005303	45.00015322	45.00037037	45.00072132	45.00109485	45.00002023	45.00005695	45.00016378	45.00039193	45.00074533	45.00107458
45.00000187	45.00000500	45.00001371	45.00003128	45.00005653	45.00007751	45.00000395	45.00001058	45.00002911	45.00006669	45.00012124	45.00016735	45.00000840	45.00002257	45.00006234	45.00014378	45.00026414	45.00036945	45.00001445	45.00003896	45.00010817	45.00025192	45.00047128	45.00067802	45.00001935	45.00005227	45.00014573	45.00034256	45.00065555	45.00099178	45.00002098	45.00005653	45.00015679	45.00036439	45.00067885	45.00096984
