p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35
45.00000266	45.00004392	45.00000258	45.00000008	45.00000000	45.00000000	45.00008857	45.00167544	45.00008604	45.00000252	45.00000005	45.00000000	45.00171844	45.04503091	45.00167538	45.00004307	45.00000084	45.00000001	45.00008857	45.00167542	45.00008604	45.00000252	45.00000005	45.00000000	45.00000260	45.00004308	45.00000252	45.00000008	45.00000000	45.00000000	45.00000006	45.00000086	45.00000005	45.00000000	45.00000000	45.00000000
45.00002979	45.00022357	45.00002798	45.00000181	45.00000008	45.00000000	45.00045352	45.00353359	45.00042674	45.00002682	45.00000116	45.00000004	45.00374663	45.03035537	45.00353243	45.00021450	45.00000900	45.00000030	45.00045348	45.00353330	45.00042670	45.00002681	45.00000116	45.00000004	45.00002855	45.00021457	45.00002682	45.00000174	45.00000008	45.00000000	45.00000128	45.00000930	45.00000120	45.00000008	45.00000000	45.00000000
45.00009405	45.00043048	45.00008538	45.00000870	45.00000060	45.00000003	45.00087494	45.00406438	45.00079529	45.00007995	45.00000545	45.00000029	45.00446034	45.02101432	45.00405895	45.00040283	45.00002711	45.00000144	45.00087463	45.00406300	45.00079501	45.00007992	45.00000544	45.00000029	45.00008805	45.00040339	45.00007995	45.00000814	45.00000056	45.00000003	45.00000632	45.00002853	45.00000573	45.00000059	45.00000004	45.00000000
45.00018401	45.00059932	45.00016163	45.00002255	45.00000213	45.00000016	45.00121412	45.00398546	45.00106731	45.00014784	45.00001384	45.00000104	45.00451447	45.01492971	45.00397168	45.00054657	45.00005085	45.00000378	45.00121301	45.00398188	45.00106634	45.00014771	45.00001383	45.00000104	45.00016831	45.00054851	45.00014784	45.00002061	45.00000194	45.00000015	45.00001688	45.00005461	45.00001482	45.00000208	45.00000020	45.00000001
45.00028308	45.00071586	45.00024099	45.00004259	45.00000510	45.00000049	45.00143793	45.00365463	45.00122492	45.00021550	45.00002568	45.00000248	45.00425775	45.01087707	45.00362914	45.00063587	45.00007548	45.00000726	45.00143523	45.00364787	45.00122262	45.00021509	45.00002563	45.00000248	45.00025312	45.00064039	45.00021550	45.00003807	45.00000455	45.00000044	45.00003288	45.00008278	45.00002797	45.00000496	45.00000060	45.00000006
45.00037771	45.00078493	45.00031234	45.00006653	45.00000964	45.00000115	45.00155578	45.00324534	45.00128718	45.00027329	45.00003948	45.00000469	45.00387339	45.00811701	45.00320629	45.00067869	45.00009779	45.00001159	45.00155063	45.00323469	45.00128293	45.00027238	45.00003935	45.00000468	45.00033048	45.00068703	45.00027329	45.00005819	45.00000843	45.00000100	45.00005292	45.00010964	45.00004374	45.00000934	45.00000136	45.00000016
45.00045935	45.00081671	45.00036982	45.00009173	45.00001558	45.00000221	45.00159055	45.00283748	45.00128118	45.00031697	45.00005369	45.00000760	45.00345526	45.00619546	45.00278462	45.00068705	45.00011614	45.00001640	45.00158215	45.00282260	45.00127442	45.00031529	45.00005341	45.00000756	45.00039367	45.00070018	45.00031697	45.00007860	45.00001334	45.00000189	45.00007512	45.00013325	45.00006045	45.00001503	45.00000256	45.00000036
45.00052376	45.00082133	45.00041157	45.00011591	45.00002252	45.00000371	45.00156610	45.00246431	45.00123121	45.00034592	45.00006706	45.00001103	45.00304930	45.00482866	45.00239866	45.00067199	45.00013003	45.00002135	45.00155386	45.00244518	45.00122160	45.00034320	45.00006653	45.00001094	45.00044019	45.00069051	45.00034592	45.00009739	45.00001891	45.00000312	45.00009761	45.00015277	45.00007668	45.00002163	45.00000421	45.00000069
45.00056994	45.00080715	45.00043817	45.00013740	45.00002998	45.00000563	45.00150275	45.00213655	45.00115594	45.00036158	45.00007874	45.00001477	45.00267602	45.00383616	45.00205995	45.00064221	45.00013959	45.00002614	45.00148633	45.00211337	45.00114332	45.00035762	45.00007788	45.00001460	45.00047029	45.00066626	45.00036158	45.00011335	45.00002472	45.00000464	45.00011887	45.00016802	45.00009136	45.00002869	45.00000627	45.00000118
45.00059883	45.00078053	45.00045153	45.00015521	45.00003749	45.00000791	45.00141610	45.00185449	45.00106843	45.00036628	45.00008830	45.00001861	45.00234268	45.00310114	45.00176924	45.00060403	45.00014530	45.00003058	45.00139544	45.00182765	45.00105286	45.00036092	45.00008700	45.00001834	45.00048574	45.00063337	45.00036628	45.00012587	45.00003039	45.00000641	45.00013779	45.00017923	45.00010386	45.00003576	45.00000865	45.00000183
45.00061251	45.00074608	45.00045403	45.00016895	45.00004464	45.00001046	45.00131745	45.00161414	45.00097731	45.00036250	45.00009558	45.00002236	45.00204991	45.00254665	45.00152262	45.00056183	45.00014777	45.00003452	45.00129274	45.00158414	45.00095901	45.00035568	45.00009377	45.00002194	45.00048900	45.00059594	45.00036250	45.00013485	45.00003562	45.00000835	45.00015370	45.00018679	45.00011389	45.00004245	45.00001123	45.00000263
45.00061349	45.00070711	45.00044806	45.00017860	45.00005112	45.00001317	45.00121459	45.00141010	45.00088793	45.00035255	45.00010067	45.00002588	45.00179521	45.00212109	45.00131459	45.00051854	45.00014763	45.00003789	45.00118620	45.00137750	45.00086721	45.00034427	45.00009829	45.00002527	45.00048267	45.00055667	45.00035255	45.00014047	45.00004019	45.00001035	45.00016629	45.00019116	45.00012139	45.00004848	45.00001389	45.00000358
