p0	p1	p2	p3	p4	p5	p6	p7	p8
45.00000123	45.00003855	45.00067314	45.00003855	45.00129463	45.02565976	45.00067314	45.02565976	45.68822910
45.00002934	45.00044119	45.00371981	45.00044119	45.00684602	45.05964638	45.00371981	45.05964638	45.53728961
45.00015056	45.00142563	45.00780209	45.00142563	45.01367913	45.07578126	45.00780209	45.07578126	45.42453889
45.00041791	45.00285523	45.01175607	45.00285523	45.01964731	45.08139853	45.01175607	45.08139853	45.33910490
45.00084353	45.00449437	45.01507238	45.00449437	45.02405439	45.08097856	45.01507238	45.08097856	45.27359510
45.00140482	45.00613359	45.01758789	45.00613359	45.02686578	45.07725195	45.01758789	45.07725195	45.22280417
45.00205936	45.00762587	45.01931347	45.00762587	45.02831064	45.07187114	45.01931347	45.07187114	45.18301972
45.00275843	45.00888606	45.02033924	45.00888606	45.02869020	45.06582297	45.02033924	45.06582297	45.15156063
45.00345624	45.00987778	45.02078358	45.00987778	45.02829267	45.05968333	45.02078358	45.05968333	45.12646740
45.00411497	45.01059838	45.02076692	45.01059838	45.02736126	45.05377507	45.02076692	45.05377507	45.10629115
