1	65536	700
2	65536	759
1	524288	810
3	65536	846
2	524288	869
4	65536	933
3	524288	956
5	65536	1020
4	524288	1043
256	65536	1103
5	524288	1130
257	65536	1190
256	524288	1213
258	65536	1277
257	524288	1300
259	65536	1364
258	524288	1387
260	65536	1451
259	524288	1474
261	65536	1538
260	524288	1561
512	65536	1621
261	524288	1648
513	65536	1708
512	524288	1731
514	65536	1795
513	524288	1818
515	65536	1882
514	524288	1905
516	65536	1969
515	524288	1992
517	65536	2056
516	524288	2079
768	65536	2139
517	524288	2166
769	65536	2226
768	524288	2249
770	65536	2313
769	524288	2336
771	65536	2400
770	524288	2423
772	65536	2487
771	524288	2510
773	65536	2574
772	524288	2597
1024	65536	2657
773	524288	2684
1025	65536	2744
1024	524288	2767
1026	65536	2831
1025	524288	2854
1027	65536	2918
1026	524288	2941
1028	65536	3005
1027	524288	3028
1029	65536	3092
1028	524288	3115
1280	65536	3175
1029	524288	3202
1281	65536	3262
1280	524288	3285
1282	65536	3349
1281	524288	3372
1283	65536	3436
1282	524288	3459
1284	65536	3523
1283	524288	3546
1285	65536	3610
1284	524288	3633
1285	524288	3720
1	65536	32467
1	262144	33764
1	4	33842
1	65536	50896
1	262144	50924
1	4	51017
1	262144	53344
1	4	53433
1	262144	53922
1	4	54011
1	262144	54500
1	4	54589
1	262144	55078
1	4	55167
1	262144	55656
1	4	55745
1	262144	56234
1	4	56323
1	262144	56812
1	4	56901
1	262144	57390
1	4	57479
1	262144	57968
1	4	58057
1	262144	58546
1	4	58635
1	262144	59124
1	4	59213
1	262144	59702
1	4	59791
1	262144	60280
1	4	60369
1	262144	60858
1	4	60947
1	262144	61436
1	4	61525
1	262144	62014
1	4	62103
1	262144	62592
1	4	62681
1	262144	63170
5	65536	63180
1	4	63259
1	65536	63443
1	4	63554
1	262144	64027
1	4	64116
5	262144	64553
1	262144	64605
5	260	64631
1	4	64694
2	65536	64764
1	262144	65183
1	4	65272
1	262144	65761
1	4	65850
1	262144	66339
1	4	66428
2	262144	66561
2	2	66639
1	262144	66917
1	4	67006
1	262144	67495
1	4	67584
1	262144	68073
1	4	68162
1	262144	68651
1	4	68740
2	262144	68996
2	2	69085
1	262144	69229
1	4	69322
2	262144	69352
2	2	69441
2	262144	69708
2	2	69797
1	262144	69811
1	4	69900
2	262144	70064
2	2	70153
1	262144	70389
2	262144	70420
1	4	70478
2	2	70509
2	262144	70776
2	2	70865
1	262144	70967
1	4	71056
2	262144	71132
2	2	71221
2	262144	71488
1	262144	71545
2	2	71577
1	4	71634
2	262144	71844
2	2	71933
1	262144	72123
2	262144	72200
1	4	72212
2	2	72289
2	262144	72556
2	2	72645
1	262144	72701
1	4	72790
2	262144	72912
2	2	73001
2	262144	73268
1	262144	73279
2	2	73357
1	4	73368
2	262144	73624
2	2	73713
1	262144	73857
1	4	73946
2	262144	73980
2	2	74069
2	262144	74336
2	2	74425
1	262144	74435
1	4	74524
2	262144	74692
2	2	74781
1	262144	75013
2	262144	75048
1	4	75102
2	2	75137
2	262144	75404
2	2	75493
1	262144	75591
1	4	75680
2	262144	75760
2	2	75849
2	262144	76116
1	262144	76169
2	2	76205
1	4	76258
2	262144	76472
2	2	76561
1	262144	76747
2	262144	76828
1	4	76836
2	2	76917
2	262144	77184
2	2	77273
1	262144	77325
1	4	77414
2	262144	77540
2	2	77629
2	262144	77896
1	262144	77903
2	2	77985
1	4	77992
2	262144	78252
2	2	78341
1	262144	78481
1	4	78570
2	262144	78608
2	2	78697
2	262144	78964
2	2	79053
1	262144	79059
1	4	79148
2	262144	79320
2	2	79409
1	262144	79637
2	262144	79676
1	4	79726
2	2	79765
2	262144	80032
2	2	80121
1	262144	80215
1	4	80304
2	262144	80388
2	2	80477
2	262144	80744
1	262144	80793
2	2	80833
1	4	80882
2	262144	81100
2	2	81189
5	65536	81210
5	262144	81238
5	260	81331
1	262144	81371
2	262144	81456
1	4	81460
2	2	81545
2	262144	81812
2	2	81901
1	262144	81949
1	4	82038
2	262144	82168
2	2	82257
2	262144	82524
1	262144	82527
2	2	82613
1	4	82616
2	262144	82880
2	2	82969
1	262144	83105
1	4	83194
2	262144	83236
2	2	83325
2	262144	83592
2	2	83681
1	262144	83683
1	4	83772
2	262144	83948
2	2	84037
1	262144	84261
2	262144	84304
1	4	84350
2	2	84393
2	262144	84660
2	2	84749
5	262144	84763
1	262144	84839
5	260	84852
1	4	84928
2	262144	85016
2	2	85105
5	262144	85341
2	262144	85372
1	262144	85417
5	260	85430
2	2	85461
1	4	85506
2	262144	85728
2	2	85821
5	262144	85919
1	262144	85995
5	260	86008
1	4	86084
2	262144	86088
2	2	86177
2	262144	86444
5	262144	86497
2	2	86533
1	262144	86573
5	260	86586
1	4	86662
2	262144	86800
2	2	86889
5	262144	87075
1	262144	87151
2	262144	87156
5	260	87164
1	4	87240
2	2	87245
2	262144	87512
2	2	87601
5	262144	87653
1	262144	87729
5	260	87742
1	4	87822
2	262144	87868
2	2	87957
2	262144	88224
5	262144	88231
1	262144	88311
2	2	88313
5	260	88320
1	4	88400
2	262144	88580
2	2	88669
5	262144	88809
1	262144	88889
5	260	88898
2	262144	88936
1	4	88978
2	2	89025
2	262144	89292
2	2	89381
5	262144	89387
1	262144	89467
5	260	89476
1	4	89556
2	262144	89648
2	2	89737
5	262144	89965
2	262144	90004
1	262144	90045
5	260	90054
2	2	90093
1	4	90134
2	262144	90360
2	2	90449
5	262144	90543
1	262144	90623
5	260	90632
1	4	90712
2	262144	90716
2	2	90805
2	262144	91072
5	262144	91121
2	2	91161
1	262144	91201
5	260	91210
1	4	91290
2	262144	91428
2	2	91517
5	262144	91699
1	262144	91779
2	262144	91784
5	260	91788
1	4	91868
2	2	91873
2	262144	92140
2	2	92229
5	262144	92277
1	262144	92357
5	260	92366
1	4	92446
2	262144	92496
2	2	92585
2	262144	92852
5	262144	92855
1	262144	92935
2	2	92941
5	260	92944
1	4	93024
2	262144	93208
2	2	93297
5	262144	93433
1	262144	93513
5	260	93522
2	262144	93564
1	4	93602
2	2	93653
2	262144	93920
2	2	94009
5	262144	94011
1	262144	94091
5	260	94100
1	4	94180
2	262144	94276
2	2	94365
5	262144	94589
2	262144	94632
1	262144	94669
5	260	94678
2	2	94721
1	4	94758
2	262144	94988
2	2	95077
5	262144	95167
1	262144	95247
5	260	95256
1	4	95336
2	262144	95344
2	2	95433
2	262144	95700
5	262144	95745
2	2	95789
1	262144	95825
5	260	95834
1	4	95914
5	65536	96018
2	262144	96056
5	260	96129
2	2	96145
768	65536	96320
2	65536	96329
1	262144	96403
2	2	96440
1	4	96492
5	262144	96602
5	260	96691
2	262144	96823
2	524288	96899
1	262144	96981
1	4	97070
5	262144	97180
1	65536	97254
5	260	97269
1	4	97611
768	262144	97693
2	65536	97693
5	262144	97758
768	516	97771
5	260	97847
2	262144	97995
4	65536	98045
2	2	98073
5	262144	98336
5	260	98425
5	262144	98914
5	260	99003
5	262144	99492
5	260	99585
4	262144	99918
4	258	99996
5	262144	100074
5	260	100163
5	262144	100652
5	260	100741
5	262144	101230
5	260	101319
5	262144	101808
5	260	101897
5	262144	102386
5	260	102475
4	262144	102557
4	258	102646
4	262144	102913
5	262144	102964
4	258	103002
5	260	103053
4	262144	103269
4	258	103358
5	262144	103542
4	262144	103625
5	260	103631
1	262144	103636
4	258	103714
1	4	103725
4	262144	103981
4	258	104070
5	262144	104120
5	260	104209
1	262144	104212
1	4	104301
4	262144	104337
4	258	104426
4	262144	104693
5	262144	104698
4	258	104782
5	260	104787
1	262144	104788
1	4	104877
4	262144	105049
4	258	105138
5	262144	105276
1	262144	105364
5	260	105365
4	262144	105405
1	4	105457
4	258	105494
4	262144	105761
4	258	105850
5	262144	105854
2	65536	105864
2	262144	105892
5	260	105943
1	262144	105944
2	2	105985
1	4	106033
4	262144	106117
4	258	106206
5	262144	106432
4	262144	106473
1	262144	106520
5	260	106521
4	258	106562
1	4	106609
4	262144	106829
4	258	106918
5	262144	107010
1	262144	107096
5	260	107099
1	4	107185
4	262144	107185
4	258	107274
4	262144	107541
5	262144	107588
4	258	107630
1	262144	107672
5	260	107677
1	4	107761
4	262144	107897
4	258	107986
5	262144	108166
1	262144	108248
4	262144	108253
5	260	108255
1	4	108337
4	258	108342
4	262144	108609
4	258	108698
5	262144	108744
1	262144	108824
5	260	108833
1	4	108913
4	262144	108965
4	258	109054
4	262144	109321
5	262144	109322
1	262144	109400
4	258	109410
5	260	109411
1	4	109489
4	262144	109677
4	258	109766
5	262144	109900
1	262144	109976
5	260	109989
4	262144	110033
1	4	110065
4	258	110122
4	262144	110389
4	258	110478
5	262144	110478
1	262144	110552
5	260	110567
1	4	110641
4	262144	110745
4	258	110834
5	262144	111056
4	262144	111101
1	262144	111128
5	260	111145
4	258	111190
1	4	111217
4	262144	111457
4	258	111546
5	262144	111634
1	262144	111704
5	260	111723
1	4	111793
4	262144	111813
4	258	111902
4	262144	112169
5	262144	112212
4	258	112258
1	262144	112280
5	260	112301
1	4	112369
4	262144	112525
4	258	112614
5	262144	112790
1	262144	112856
5	260	112879
4	262144	112881
1	4	112945
4	258	112970
4	262144	113237
4	258	113326
5	262144	113368
1	262144	113432
5	260	113457
1	4	113521
4	262144	113593
4	258	113682
5	262144	113946
4	262144	113949
1	262144	114008
5	260	114035
4	258	114038
1	4	114097
4	262144	114305
4	258	114394
5	262144	114524
1	262144	114584
5	260	114613
4	262144	114661
1	4	114673
4	258	114750
768	65536	114844
768	262144	114872
768	516	114965
4	262144	115017
5	262144	115102
4	258	115106
1	262144	115160
5	260	115191
1	4	115249
4	262144	115373
4	258	115462
5	262144	115680
4	262144	115729
1	262144	115736
5	260	115769
4	258	115818
1	4	115825
4	262144	116085
4	258	116174
5	262144	116258
1	262144	116312
5	260	116347
1	4	116401
4	262144	116441
4	258	116530
4	262144	116797
5	262144	116836
4	258	116886
1	262144	116888
5	260	116925
1	4	116977
4	262144	117153
4	258	117242
5	262144	117414
1	262144	117464
5	260	117503
4	262144	117509
1	4	117553
4	258	117598
4	262144	117865
4	258	117954
5	262144	117992
1	262144	118040
5	260	118085
1	4	118129
4	262144	118221
4	258	118310
5	262144	118574
4	262144	118577
768	262144	118587
1	262144	118616
5	260	118663
4	258	118666
768	516	118676
1	4	118705
4	262144	118933
4	258	119022
5	262144	119152
768	262144	119165
1	262144	119192
4	65536	119206
4	262144	119234
5	260	119241
768	516	119254
1	4	119281
4	258	119327
4	262144	119594
4	258	119683
5	262144	119730
768	262144	119743
1	262144	119768
5	260	119819
768	516	119832
1	4	119857
4	262144	119950
4	258	120039
4	262144	120306
5	262144	120308
768	262144	120321
1	262144	120344
4	258	120395
5	260	120397
768	516	120410
1	4	120433
4	262144	120662
4	258	120751
5	262144	120886
768	262144	120899
1	262144	120920
5	260	120975
768	516	120988
1	4	121009
4	262144	121018
4	258	121107
4	262144	121374
4	258	121463
5	262144	121464
768	262144	121477
1	262144	121496
5	260	121553
768	516	121566
1	4	121585
4	262144	121730
4	258	121819
5	262144	122042
768	262144	122055
1	262144	122072
4	262144	122086
5	260	122131
768	516	122144
1	4	122161
4	258	122175
2	65536	122389
2	262144	122417
4	262144	122442
2	2	122510
4	258	122531
5	262144	122620
768	262144	122633
1	262144	122648
5	260	122709
768	516	122722
1	4	122737
4	262144	122798
4	258	122887
4	262144	123154
5	262144	123198
768	262144	123211
1	262144	123224
4	258	123243
5	260	123287
768	516	123300
1	4	123313
4	262144	123510
4	258	123599
5	262144	123776
768	262144	123789
1	262144	123800
5	260	123865
4	262144	123866
768	516	123878
1	4	123893
4	258	123955
4	262144	124222
4	258	124311
5	262144	124354
768	262144	124367
1	262144	124380
5	260	124443
768	516	124456
1	4	124469
4	262144	124578
4	258	124667
5	262144	124932
4	262144	124934
768	262144	124945
1	262144	124956
5	260	125021
4	258	125023
768	516	125034
1	4	125045
4	262144	125290
4	258	125379
5	262144	125510
768	262144	125523
1	262144	125532
5	260	125599
768	516	125612
1	4	125621
4	262144	125646
4	258	125735
4	262144	126002
5	262144	126088
4	258	126091
768	262144	126101
1	262144	126108
5	260	126177
768	516	126190
1	4	126197
4	262144	126358
4	258	126447
5	262144	126666
768	262144	126679
1	262144	126684
4	262144	126714
5	260	126755
768	516	126768
1	4	126773
4	258	126803
4	262144	127070
4	258	127159
5	262144	127244
768	262144	127257
1	262144	127260
5	260	127333
768	516	127346
1	4	127349
4	262144	127426
4	258	127515
4	262144	127782
5	262144	127822
